uri,nome,cognome,patronimico,genere_inferito
https://florentiaillustrata.net/resource/person/Antonio_Martellucci,Antonio,Martellucci,Giuseppe,F
https://florentiaillustrata.net/resource/person/Giuseppe_Romanelli,Giuseppe,Romanelli,Gaetano,F
https://florentiaillustrata.net/resource/person/Teresa_Gori,Teresa,Gori,Mattia,F
https://florentiaillustrata.net/resource/person/Francesco_Gambassini,Francesco,Gambassini,Vincenzo,F
https://florentiaillustrata.net/resource/person/Roberto_D'Elci,Roberto,D'Elci,Orso Maria,F
https://florentiaillustrata.net/resource/person/Luigi_Giovannozzi,Luigi,Giovannozzi,Giovan Battista,F
https://florentiaillustrata.net/resource/person/Antonio_Alberti,Antonio,Alberti,Francesco,F
https://florentiaillustrata.net/resource/person/Rosa_Falci,Rosa,Falci,Benedetto,F
https://florentiaillustrata.net/resource/person/Vincenzo_Cocchini,Vincenzo,Cocchini,,F
https://florentiaillustrata.net/resource/person/Giuseppe_Tosi,Giuseppe,Tosi,,F
https://florentiaillustrata.net/resource/person/Antonio_Sansoni,Antonio,Sansoni,Gaetano,F
https://florentiaillustrata.net/resource/person/Angelo_Benucci,Angelo,Benucci,Filippo,F
https://florentiaillustrata.net/resource/person/Pietro_Ancillotti,Pietro,Ancillotti,Antonio,F
https://florentiaillustrata.net/resource/person/Giuseppe_Piatti,Giuseppe,Piatti,Costantino,F
https://florentiaillustrata.net/resource/person/Francesco_Pucci_Delle_Stelle,Francesco,Pucci Delle Stelle,Tommaso,F
https://florentiaillustrata.net/resource/person/Antonio_Bandinelli,Antonio,Bandinelli,Giovacchino,F
https://florentiaillustrata.net/resource/person/Gaetano_Becucci,Gaetano,Becucci,Pietro,F
https://florentiaillustrata.net/resource/person/Giacomo_Biagiotti,Giacomo,Biagiotti,Giuseppe,F
https://florentiaillustrata.net/resource/person/Giuseppe_Pagani,Giuseppe,Pagani,Giovacchino,F
https://florentiaillustrata.net/resource/person/Luigi_Papucci,Luigi,Papucci,Antonio,F
https://florentiaillustrata.net/resource/person/Damiano_Iacopucci,Damiano,Iacopucci,Gaspero,F
https://florentiaillustrata.net/resource/person/Francesco_Romagnoli,Francesco,Romagnoli,Giuseppe,F
https://florentiaillustrata.net/resource/person/Carlo_Bonajuti,Carlo,Bonajuti,Serafino,F
https://florentiaillustrata.net/resource/person/Giuseppe_Boscherini,Giuseppe,Boscherini,Luigi,F
https://florentiaillustrata.net/resource/person/Giovanni_Wital,Giovanni,Wital,Giovanni,F
https://florentiaillustrata.net/resource/person/Roberto_Balestrieri,Roberto,Balestrieri,Gaetano,F
https://florentiaillustrata.net/resource/person/Lorenzo_Scacciati,Lorenzo,Scacciati,Gaetano,F
https://florentiaillustrata.net/resource/person/Luigi_Marzocchini,Luigi,Marzocchini,,F
https://florentiaillustrata.net/resource/person/Giuseppe_Ignesti,Giuseppe,Ignesti,Pietro,F
https://florentiaillustrata.net/resource/person/Leonardo_Spinelli,Leonardo,Spinelli,Spinello,F
https://florentiaillustrata.net/resource/person/Luisa_Meucci,Luisa,Meucci,Giuseppe,F
https://florentiaillustrata.net/resource/person/Gaetano_Ciulli,Gaetano,Ciulli,Leone,F
https://florentiaillustrata.net/resource/person/Gaetano_Gallaj,Gaetano,Gallaj,Vincenzo,F
https://florentiaillustrata.net/resource/person/Francesco_Maria_Pini,Francesco Maria,Pini,Paolo Luigi,F
https://florentiaillustrata.net/resource/person/Elena_Malenotti,Elena,Malenotti,Ciriaco,F
https://florentiaillustrata.net/resource/person/Alessandro_Pieralli,Alessandro,Pieralli,Lorenzo,F
https://florentiaillustrata.net/resource/person/Vincenzo_Ulivetti,Vincenzo,Ulivetti,,F
https://florentiaillustrata.net/resource/person/Carlo_Socci,Carlo,Socci,Giuseppe,F
https://florentiaillustrata.net/resource/person/Pietro_Lastricati,Pietro,Lastricati,Baldassarre,F
https://florentiaillustrata.net/resource/person/Luigi_Costi,Luigi,Costi,Francesco,F
https://florentiaillustrata.net/resource/person/Luigi_Vannucci,Luigi,Vannucci,Giovanni,F
https://florentiaillustrata.net/resource/person/Pietro_Giovannozzi,Pietro,Giovannozzi,Francesco,F
https://florentiaillustrata.net/resource/person/Giuseppe_Carocci,Giuseppe,Carocci,Anton Francesco,F
https://florentiaillustrata.net/resource/person/Filippo_Mengozzi,Filippo,Mengozzi,Bernardino,F
https://florentiaillustrata.net/resource/person/Francesco_Cioni,Francesco,Cioni,Giuseppe,F
https://florentiaillustrata.net/resource/person/Gaetano_Mani,Gaetano,Mani,Benedetto,F
https://florentiaillustrata.net/resource/person/Giuditta_Carboni,Giuditta,Carboni,Carlo,F
https://florentiaillustrata.net/resource/person/Ferdinando_Riccardi,Ferdinando,Riccardi,Giuseppe,F
https://florentiaillustrata.net/resource/person/Lorenzo_Faini,Lorenzo,Faini,Marco,F
https://florentiaillustrata.net/resource/person/Gaetano_Fallani,Gaetano,Fallani,Tommaso,F
https://florentiaillustrata.net/resource/person/Antonio_Pacinotti,Antonio,Pacinotti,Giovan Battista,F
https://florentiaillustrata.net/resource/person/Giuseppe_Poli,Giuseppe,Poli,,F
https://florentiaillustrata.net/resource/person/Donato_Guadagni,Donato,Guadagni,Luigi,F
https://florentiaillustrata.net/resource/person/Gaetano_Leoni,Gaetano,Leoni,Giuseppe Maria,F
https://florentiaillustrata.net/resource/person/Gaetano_Ramponi,Gaetano,Ramponi,Angiolo,F
https://florentiaillustrata.net/resource/person/Giuseppe_Barbanti,Giuseppe,Barbanti,Sabatino,F
https://florentiaillustrata.net/resource/person/Luigi_Becattini,Luigi,Becattini,Giuseppe Ignazio,F
https://florentiaillustrata.net/resource/person/Angiola_Calvo,Angiola,Calvo,Joseph,F
https://florentiaillustrata.net/resource/person/Francesco_Giorgi,Francesco,Giorgi,Giovanni,F
https://florentiaillustrata.net/resource/person/Lorenzo_Del_Lungo,Lorenzo,Del Lungo,Alessandro,F
https://florentiaillustrata.net/resource/person/Giovanni_Mozzi,Giovanni,Mozzi,Francesco,F
https://florentiaillustrata.net/resource/person/Francesco_D'Elci,Francesco,D'Elci,Orso Maria,F
https://florentiaillustrata.net/resource/person/Carlo_Buggiani,Carlo,Buggiani,Niccolò,F
https://florentiaillustrata.net/resource/person/Gaetano_Barbanti,Gaetano,Barbanti,Domenico,F
https://florentiaillustrata.net/resource/person/Stefano_Balocchi,Stefano,Balocchi,Gaetano,F
https://florentiaillustrata.net/resource/person/Giuseppe_Faldi,Giuseppe,Faldi,Vincenzo,F
https://florentiaillustrata.net/resource/person/Luigi_Baggiani,Luigi,Baggiani,Francesco,F
https://florentiaillustrata.net/resource/person/Stefano_Pampaloni,Stefano,Pampaloni,Antonio,F
https://florentiaillustrata.net/resource/person/Giovanni_Targioni_Tozzetti,Giovanni,Targioni Tozzetti,Ottaviano,F
https://florentiaillustrata.net/resource/person/Luigi_Morel_De_Bauvine,Luigi,Morel De Bauvine,Pietro,F
https://florentiaillustrata.net/resource/person/Isabella_Biffi_Tolomei,Isabella,Biffi Tolomei,Matteo,F
https://florentiaillustrata.net/resource/person/Pietro_Orsini,Pietro,Orsini,Antonio,F
https://florentiaillustrata.net/resource/person/Giacomo_Querci,Giacomo,Querci,Trofimo,F
https://florentiaillustrata.net/resource/person/Antonio_Meucci,Antonio,Meucci,Francesco,F
https://florentiaillustrata.net/resource/person/Ferdinando_Giani,Ferdinando,Giani,Leopoldo,F
https://florentiaillustrata.net/resource/person/Gaetano_Nannucci,Gaetano,Nannucci,Andrea,F
https://florentiaillustrata.net/resource/person/Cosimo_Alessandri,Cosimo,Alessandri,Gaetano,F
https://florentiaillustrata.net/resource/person/Carlo_Michel'Angiolo,Carlo,Michel'Angiolo,,F
https://florentiaillustrata.net/resource/person/Giuditta_Cocchi,Giuditta,Cocchi,Giuseppe,F
https://florentiaillustrata.net/resource/person/Lorenzo_Turchini,Lorenzo,Turchini,Angelo,F
https://florentiaillustrata.net/resource/person/Maria_Maddalena_Masini,Maria Maddalena,Masini,Niccola,F
https://florentiaillustrata.net/resource/person/Tommaso_Antolini,Tommaso,Antolini,Francesco,F
https://florentiaillustrata.net/resource/person/Andrea_Del_Sarto,Andrea,Del Sarto,Francesco,F
https://florentiaillustrata.net/resource/person/Giuseppe_Bartoli,Giuseppe,Bartoli,Pietro,F
https://florentiaillustrata.net/resource/person/Martino_Cecchi,Martino,Cecchi,Pietro,F
https://florentiaillustrata.net/resource/person/Antonio_Baccani,Antonio,Baccani,Vincenzo,F
https://florentiaillustrata.net/resource/person/Domenico_Torrini,Domenico,Torrini,Raffaello,F
https://florentiaillustrata.net/resource/person/Ferdinando_Capecchi,Ferdinando,Capecchi,Clemente,F
https://florentiaillustrata.net/resource/person/Michele_Boutourlin,Michele,Boutourlin,Demetrio,F
https://florentiaillustrata.net/resource/person/Luigi_Cresci,Luigi,Cresci,Giovacchino,F
https://florentiaillustrata.net/resource/person/Paolina_Berni,Paolina,Berni,Giovanni,F
https://florentiaillustrata.net/resource/person/Luigi_Sonnini,Luigi,Sonnini,Giuseppe,F
https://florentiaillustrata.net/resource/person/Giuseppe_Burchi,Giuseppe,Burchi,,F
https://florentiaillustrata.net/resource/person/Pasquale_Romei,Pasquale,Romei,Giuseppe,F
https://florentiaillustrata.net/resource/person/Paolo_Roberti,Paolo,Roberti,Domenico,F
https://florentiaillustrata.net/resource/person/Gaetano_Campolini,Gaetano,Campolini,Giuseppe,F
https://florentiaillustrata.net/resource/person/Antonio_Marcantelli,Antonio,Marcantelli,Giovanni,F
https://florentiaillustrata.net/resource/person/Pietro_Saccardi,Pietro,Saccardi,Francesco,F
https://florentiaillustrata.net/resource/person/Giuseppe_Fornaciai,Giuseppe,Fornaciai,Matteo,F
https://florentiaillustrata.net/resource/person/Adelaide_Ciampolini,Adelaide,Ciampolini,Matteo,F
https://florentiaillustrata.net/resource/person/Giovanni_Monatti,Giovanni,Monatti,Giovan Battista,F
https://florentiaillustrata.net/resource/person/Pietro_Labrelis,Pietro,Labrelis,Felice,F
https://florentiaillustrata.net/resource/person/Pietro_Barbetti,Pietro,Barbetti,Giovanni,F
https://florentiaillustrata.net/resource/person/Benedetto_Comparini,Benedetto,Comparini,Giovan Battista,F
https://florentiaillustrata.net/resource/person/Natale_Lottini,Natale,Lottini,Marco,F
https://florentiaillustrata.net/resource/person/Giuseppe_Torrigiani,Giuseppe,Torrigiani,Francesco,F
https://florentiaillustrata.net/resource/person/Maria_Rosa_Merli,Maria Rosa,Merli,Sebastiano,F
https://florentiaillustrata.net/resource/person/Giovanni_Lastricati,Giovanni,Lastricati,Carlo,F
https://florentiaillustrata.net/resource/person/Luigi_Villani,Luigi,Villani,Silvestro,F
https://florentiaillustrata.net/resource/person/Giovanni_Brabanti,Giovanni,Brabanti,Giovacchino,F
https://florentiaillustrata.net/resource/person/Ferdinando_Pollastri,Ferdinando,Pollastri,Andrea,F
https://florentiaillustrata.net/resource/person/Pietro_Niccolaj,Pietro,Niccolaj,,F
https://florentiaillustrata.net/resource/person/Jacopo_Mochi,Jacopo,Mochi,Niccolò,F
https://florentiaillustrata.net/resource/person/Paolo_Agostini,Paolo,Agostini,Nunzio,F
https://florentiaillustrata.net/resource/person/Pietro_Nenci,Pietro,Nenci,Giuseppe,F
https://florentiaillustrata.net/resource/person/Giuseppe_Pessuti,Giuseppe,Pessuti,Giovan Battista,F
https://florentiaillustrata.net/resource/person/Gaetano_Campani,Gaetano,Campani,,F
https://florentiaillustrata.net/resource/person/Giovanni_Bonechi,Giovanni,Bonechi,Michele,F
https://florentiaillustrata.net/resource/person/Margherita_Toccafondi,Margherita,Toccafondi,Amerigo,F
https://florentiaillustrata.net/resource/person/Ferdinando_Del_Grande,Ferdinando,Del Grande,Francesco,F
https://florentiaillustrata.net/resource/person/Pietro_Cambini,Pietro,Cambini,Bartolommeo,F
https://florentiaillustrata.net/resource/person/Luigi_Berni,Luigi,Berni,Giovanni,F
https://florentiaillustrata.net/resource/person/Pietro_Montelatici,Pietro,Montelatici,Filippo,F
https://florentiaillustrata.net/resource/person/Antonio_Catani,Antonio,Catani,Pietro,F
https://florentiaillustrata.net/resource/person/Saverio_Gentili,Saverio,Gentili,Niccolò,F
https://florentiaillustrata.net/resource/person/Giuseppe_Puliti,Giuseppe,Puliti,Lorenzo,F
https://florentiaillustrata.net/resource/person/Fortunata_Grazzini,Fortunata,Grazzini,Giovan Andrea,F
https://florentiaillustrata.net/resource/person/Lorenzo_Bonafedi,Lorenzo,Bonafedi,Giovan Battista,F
https://florentiaillustrata.net/resource/person/Carlo_Catelani,Carlo,Catelani,Michele Filippo,F
https://florentiaillustrata.net/resource/person/Francesco_Goretti,Francesco,Goretti,Giuseppe,F
https://florentiaillustrata.net/resource/person/Antonio_Angeli,Antonio,Angeli,Andrea,F
https://florentiaillustrata.net/resource/person/Giuliano_Frullani,Giuliano,Frullani,Leonardo,F
https://florentiaillustrata.net/resource/person/Matteo_Cellai,Matteo,Cellai,Francesco,F
https://florentiaillustrata.net/resource/person/Francesco_Gamberai_Locheri,Francesco,Gamberai Locheri,Alessandro,F
https://florentiaillustrata.net/resource/person/Antonio_Giovannini,Antonio,Giovannini,Vincenzo,F
https://florentiaillustrata.net/resource/person/Carolina_Fancelli,Carolina,Fancelli,Giuseppe,F
https://florentiaillustrata.net/resource/person/Antonio_Rossi,Antonio,Rossi,Giuliano,F
https://florentiaillustrata.net/resource/person/Francesco_Ceccherini,Francesco,Ceccherini,Benedetto,F
https://florentiaillustrata.net/resource/person/Antonio_Catellini_da_Castiglione,Antonio,Catellini da Castiglione,Santi,F
https://florentiaillustrata.net/resource/person/Giuseppe_Bargi,Giuseppe,Bargi,Gaspero,F
https://florentiaillustrata.net/resource/person/Maria_Bellucci,Maria,Bellucci,Francesco,F
