"specie_pro","macro_categoria"
"scuderie, corte e fabbricato","fabbricato urbano"
"casa e capanna","fabbricato urbano"
"terreno e corte","spazio aperto verde"
"sala e ingresso a comune","fabbricato urbano"
"prato gelsato","spazio aperto verde"
"scuole e corte","spazio aperto"
"scuderia","attività"
"ricetto a terreno con scala a comune e 1o piano","fabbricato urbano"
"caserma e corte","spazio aperto"
"rimessa e corte","fabbricato urbano"
"concia e corte","spazio aperto"
"casa, rimessa e corte","fabbricato urbano"
"pastura prativa","spazio aperto verde"
"casa e fondi","fabbricato urbano"
"canonica","spazio religioso"
"rimessa e mezzanino","fabbricato urbano"
"palazzo, corte, rimessa, scuderia ed annessi","fabbricato urbano"
"fondi","fabbricato urbano"
"casa, bottega e magazzino","fabbricato urbano"
"loggia, corte e fabbricato","fabbricato urbano"
"luogo del rastrello","spazio aperto"
"casa e corte (porzione)","fabbricato urbano"
"palazzo","fabbricato urbano"
"piano terreno","spazio aperto verde"
"orto botanico","spazio aperto verde"
"oratorio","spazio religioso"
"villino e guindolo","fabbricato urbano"
"passo a comune e corte","spazio aperto"
"casetta e orticello","fabbricato urbano"
"ingresso e scuderia","fabbricato urbano"
"casa anzi orto","fabbricato urbano"
"farmacia","servizi"
"casa, ingresso e corte","fabbricato urbano"
"rimessa, stalla e corte","fabbricato urbano"
"banco e corte","spazio aperto"
"casamento, botteghe e corte","fabbricato urbano"
"bottega e stalla","attività"
"stanzone e loggia","fabbricato urbano"
"ingresso e fondi","fabbricato urbano"
"rese di detta strada","spazio aperto verde"
"stalletta","fabbricato urbano"
"fabbricato e corte","fabbricato urbano"
"stalla e fabbricato","fabbricato urbano"
"sodo cipressato","spazio aperto verde"
"ingresso","fabbricato urbano"
"gioco del pallone","spazio aperto"
"stanzino","fabbricato urbano"
"gabinetto fisico","servizi"
"magazzino ed orto","fabbricato urbano"
"bagnaia","spazio aperto"
"chiasso a comune","spazio aperto"
"pian terreno, corte e fabbricato","fabbricato urbano"
"pastura artificiale","spazio aperto verde"
"casa e cortile","fabbricato urbano"
"azienda del registro","servizi"
"fabbricato per uso di rimessa e scuderie","fabbricato urbano"
"casamento e corte","fabbricato urbano"
"lavorativo gelsato con cipressi","spazio aperto verde"
"casa, corte e stalla","fabbricato urbano"
"fondi e corte","fabbricato urbano"
"corte a comune","spazio aperto"
"teatro","servizi"
"campanile","spazio religioso"
"casamento, rimessa, corte e orto","fabbricato urbano"
"magazzino e bottega","fabbricato urbano"
"convento","spazio religioso"
"stanzoni","fabbricato urbano"
"corpo di guardia","servizi"
"chiesa, sagrestia e compagnia","spazio religioso"
"casa,rimessa e corte","fabbricato urbano"
"grotta diruta","fabbricato urbano"
"casa rurale","fabbricato urbano"
"spedale","servizi"
"pian terreno di casa","fabbricato urbano"
"lavorativo fruttato","spazio aperto verde"
"stanzoncino sotterraneo di rotoni","fabbricato urbano"
"gabellino e corpo di guardia","fabbricato urbano"
"magazzino e corte","fabbricato urbano"
"stalla, rimessa e corte","fabbricato urbano"
"casa con giardino","fabbricato urbano"
"bottega e fabbricato","fabbricato urbano"
"magazzino, casa e corte","fabbricato urbano"
